"","143B-CA1-1","143B-DG-1","144B-CA1-1","144B-CA3-1","145B-CA1-1","145B-DG-1","146B-CA1-2","146B-CA3-2","146B-DG-2","147-CA1-4","147-CA3-4","147-DG-4","148-CA1-2","148-CA3-2","148-DG-2","148B-CA1-4","148B-CA3-4","148B-DG-4"
"RP24-77E13.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rp9",37,39,41,20,9,17,3,23,1,8,37,0,11,19,20,17,64,17
"Rpa1",69,157,129,24,122,70,36,76,8,14,30,20,130,64,101,2,137,52
"Rpa2",26,16,28,1,4,17,20,4,0,0,0,0,6,16,24,0,29,10
"Rpa3",2,13,16,2,2,2,5,5,0,0,0,0,0,4,6,3,20,2
"Rpain",7,42,7,1,16,9,6,3,2,0,7,0,2,8,10,0,15,2
"Rpap1",40,56,99,12,85,28,17,65,0,0,0,2,27,57,108,8,73,14
"Rpap2",30,31,39,15,21,25,12,33,1,0,11,0,23,22,0,0,51,12
"Rpap3",25,13,41,11,62,21,15,26,0,1,1,0,50,43,89,1,88,16
"Rpe",38,57,75,36,21,16,25,63,2,6,51,0,99,18,51,1,68,12
"Rpe65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Rpf1",19,16,13,3,25,11,7,20,0,0,0,19,0,2,30,11,17,17
"Rpf2",18,28,35,11,25,38,1,27,1,0,0,0,0,31,35,5,45,6
"Rpgr",35,22,38,11,32,14,8,26,0,0,0,0,59,55,47,1,53,16
"Rpgrip1",0,8,2,17,0,1,0,0,8,0,0,0,0,7,0,7,0,0
"Rpgrip1l",40,39,64,15,36,35,21,48,6,25,0,0,84,48,54,10,65,19
"Rph3a",153,1302,139,851,115,940,59,350,61,25,55,9,73,313,1644,44,472,504
"Rph3al",4,13,19,0,0,36,3,0,0,0,0,0,9,0,36,0,0,7
"Rpia",15,13,0,0,11,15,21,27,1,0,0,0,0,26,35,14,41,12
"Rpl10",32,147,80,150,246,52,21,35,0,21,77,2,166,10,31,18,203,68
"Rpl10-ps3",246,269,316,5,25,77,60,192,8,0,54,0,39,194,294,34,110,79
"Rpl10a",195,389,200,148,267,134,55,182,13,13,46,31,131,228,339,16,295,123
"Rpl10l",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl11",210,351,246,97,184,137,53,172,17,23,57,6,98,151,245,28,379,131
"Rpl12",210,297,289,101,205,186,62,135,6,0,96,26,191,212,241,12,269,78
"Rpl13",380,503,557,220,393,321,107,294,11,8,114,7,345,396,341,21,497,206
"Rpl13-ps3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl13a",521,625,671,238,425,288,131,395,25,38,202,30,481,437,521,16,552,249
"Rpl13a-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl14",262,398,346,129,293,165,56,267,30,28,35,23,213,232,397,14,358,142
"Rpl15",228,462,381,157,261,211,133,346,10,4,183,43,193,330,377,36,422,161
"Rpl17",229,398,415,159,228,144,74,271,12,21,106,42,90,171,350,57,364,152
"Rpl18",115,246,163,73,103,152,34,99,11,0,37,15,89,99,270,5,198,83
"Rpl18a",307,419,398,132,267,234,76,215,10,28,45,1,287,138,312,43,407,180
"Rpl19",300,441,356,171,337,161,128,267,24,18,167,14,190,296,340,29,405,189
"Rpl21",303,491,407,181,361,194,82,277,12,19,175,2,200,371,452,34,527,147
"Rpl21-ps4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"Rpl22",134,236,176,64,93,78,36,112,0,0,20,0,70,133,252,6,202,79
"Rpl22l1",61,113,144,15,128,39,26,101,0,2,29,0,92,61,89,34,92,40
"Rpl23",243,338,258,96,216,102,70,220,37,0,94,4,133,199,283,43,296,130
"Rpl23a",239,322,255,81,121,120,66,144,3,13,54,8,103,134,241,7,250,84
"Rpl23a-ps3",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
"Rpl24",183,319,235,56,212,108,59,125,1,37,78,1,127,206,301,11,307,73
"Rpl26",262,390,329,133,178,188,46,228,10,22,161,2,97,177,315,26,337,91
"Rpl27",8,24,62,11,0,19,3,26,12,0,0,0,0,36,24,0,5,4
"Rpl27-ps3",115,155,119,67,101,38,27,69,0,17,74,1,117,84,93,7,134,60
"Rpl27a",259,440,391,146,348,213,71,220,4,0,174,38,248,214,303,29,307,165
"Rpl28",223,307,279,129,210,91,57,228,8,16,102,0,199,276,294,14,351,119
"Rpl29",199,356,367,105,309,123,65,234,1,25,82,41,199,188,305,21,353,66
"Rpl3",820,1049,1118,400,736,600,319,518,25,13,148,42,645,546,1049,83,929,383
"Rpl30",172,310,216,65,102,118,39,91,6,19,67,24,138,43,191,21,138,73
"Rpl31",224,265,267,88,238,139,54,157,19,17,138,14,117,157,261,48,251,108
"Rpl32",170,265,144,88,148,84,30,107,7,0,117,3,61,131,109,18,206,81
"Rpl34",91,229,132,46,85,93,44,103,20,0,28,2,82,65,126,2,132,79
"Rpl35",97,149,169,24,82,28,19,128,6,0,18,1,40,95,92,28,145,133
"Rpl35a",159,179,196,45,123,81,35,85,1,6,51,2,77,107,156,31,174,63
"Rpl36",126,157,109,43,135,68,36,69,0,0,52,1,63,87,227,7,204,84
"Rpl36-ps3",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"Rpl36-ps4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl36a",63,118,76,38,54,38,11,45,0,0,15,8,41,49,42,3,118,46
"Rpl36al",37,115,57,27,38,32,13,29,5,0,0,0,40,62,99,1,103,20
"Rpl37",213,249,241,121,198,125,49,135,14,25,65,21,148,127,233,28,275,85
"Rpl37a",156,226,222,57,156,82,27,83,23,4,52,3,92,100,250,6,216,85
"Rpl38",111,123,178,65,83,34,15,70,4,11,66,1,55,81,115,6,185,45
"Rpl39",73,112,105,43,49,51,7,55,2,9,25,1,59,82,71,4,126,44
"Rpl39l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl3l",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rpl4",665,1106,893,302,947,519,186,559,18,60,282,69,558,614,1062,108,841,327
"Rpl41",337,575,463,147,280,201,92,282,17,0,128,16,198,309,398,38,560,172
"Rpl5",266,589,523,147,329,290,121,275,20,8,94,11,283,200,384,20,323,161
"Rpl6",436,627,623,219,406,313,120,356,22,14,158,12,347,395,645,45,594,197
"Rpl6l",0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl7",291,495,401,102,260,212,145,207,38,18,191,14,207,258,439,39,348,137
"Rpl7a",272,430,481,117,353,183,58,282,13,1,48,1,198,239,347,21,399,179
"Rpl7a-ps3",4,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"Rpl7a-ps5",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Rpl7l1",39,67,31,20,53,37,27,65,5,11,25,1,54,83,66,2,84,32
"Rpl8",326,559,577,193,377,252,119,295,31,13,123,60,273,344,535,37,450,184
"Rpl9",345,508,484,216,343,244,44,218,24,9,161,11,226,206,605,25,392,164
"Rpl9-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rpl9-ps6",0,8,0,0,32,0,0,0,0,13,0,0,0,0,0,0,0,0
"Rplp0",318,491,340,165,283,191,122,247,13,6,88,21,229,335,455,32,406,160
"Rplp1",682,677,744,237,740,295,136,416,27,10,188,16,576,407,634,46,548,255
"Rplp2",213,260,172,92,191,90,52,134,19,25,84,7,77,135,238,19,247,102
"Rpn1",147,170,270,70,198,87,54,334,2,14,100,11,146,223,188,17,500,112
"Rpn2",245,250,303,92,201,131,101,242,24,13,39,33,218,307,212,29,430,55
"Rpp14",33,46,37,34,28,18,1,55,0,1,16,0,94,27,24,2,73,26
"Rpp21",15,26,11,7,7,5,1,32,0,0,6,0,0,43,22,0,45,9
"Rpp25",8,9,24,1,0,0,1,6,1,0,15,1,11,13,5,0,16,3
"Rpp25l",14,26,25,8,7,10,4,24,0,0,27,0,11,58,60,0,20,19
"Rpp30",17,25,11,0,6,9,4,14,0,0,1,0,28,8,0,0,23,7
"Rpp38",21,15,0,0,0,5,0,3,0,0,10,0,0,3,17,0,12,0
"Rpp40",14,13,0,5,9,28,2,14,1,0,18,0,9,4,2,0,17,1
"Rprd1a",143,398,400,90,181,251,130,254,18,27,106,38,209,206,444,53,327,177
"Rprd1b",44,58,96,22,35,22,15,53,1,24,13,1,64,51,60,3,65,23
"Rprd2",95,182,148,22,73,135,145,120,16,5,18,0,66,97,204,32,193,84
"Rprm",2,77,3,0,8,70,2,3,0,0,0,0,15,0,106,0,4,33
"Rprml",281,124,395,58,209,28,137,222,1,17,45,1,181,242,81,21,215,66
"Rps10",203,272,195,67,129,110,53,72,3,11,51,27,150,104,175,7,196,98
"Rps11",209,262,302,45,152,124,43,121,1,7,33,1,94,136,104,15,271,85
"Rps12",0,0,0,0,0,0,0,0,0,0,4,0,0,0,75,34,0,69
"Rps12-ps3",259,281,212,77,163,136,65,66,10,8,17,0,173,93,116,0,233,66
"Rps13",188,261,213,72,164,60,51,145,7,13,81,5,101,115,149,20,231,83
"Rps14",388,449,408,166,326,190,96,263,27,60,144,5,259,299,331,27,422,125
"Rps15",388,383,442,108,346,143,56,238,30,9,124,38,272,170,414,34,462,191
"Rps15a",144,295,216,92,128,190,72,161,6,11,55,2,147,157,189,12,202,135
"Rps16",172,322,277,90,255,88,76,114,6,1,53,33,161,135,204,36,248,110
"Rps17",167,200,292,81,213,96,52,135,26,9,89,11,80,76,152,26,311,106
"Rps18",141,213,195,69,168,114,50,109,7,3,49,10,91,149,223,6,224,114
"Rps19",187,296,271,72,144,148,73,141,5,26,41,0,120,138,155,19,227,93
"Rps19bp1",30,21,37,29,18,11,3,17,2,7,14,0,15,36,67,0,24,5
"Rps2",547,903,656,292,604,361,179,465,28,26,225,29,526,467,868,12,734,275
"Rps2-ps6",0,0,0,3,0,6,4,0,0,0,0,0,26,0,6,0,5,3
"Rps20",129,225,151,71,135,47,58,146,3,0,27,10,58,118,107,22,202,90
"Rps21",230,310,226,87,234,119,61,142,21,13,92,1,158,157,151,25,251,97
"Rps23",245,333,362,93,163,173,50,175,20,8,65,15,195,193,239,25,226,97
"Rps24",214,246,176,69,162,118,50,147,21,22,86,39,173,138,195,10,208,67
"Rps25",174,307,167,100,186,114,41,122,15,21,9,28,228,130,248,13,189,99
"Rps26",113,225,160,69,87,80,34,100,0,10,38,22,92,90,136,15,186,84
"Rps27",147,179,230,38,161,70,46,81,5,0,50,4,152,48,131,24,104,58
"Rps27a",201,323,303,98,158,158,78,158,12,11,132,3,150,163,239,16,257,128
"Rps27l",9,13,19,9,0,6,1,16,1,0,11,0,0,4,21,18,19,1
"Rps27rt",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"Rps28",165,207,148,68,97,43,27,85,14,6,8,0,97,81,148,10,148,51
"Rps29",179,266,319,79,280,95,61,162,16,11,46,1,201,138,206,40,286,124
"Rps3",283,584,393,163,286,257,104,267,17,21,121,3,215,260,607,32,462,245
"Rps3a1",431,628,430,215,312,220,134,251,31,24,153,7,400,225,522,41,387,244
"Rps4x",264,532,365,164,324,227,67,282,45,51,144,34,244,305,436,76,448,146
"Rps5",250,434,293,92,201,101,64,175,17,26,158,70,117,158,295,25,328,160
"Rps6",304,493,403,204,277,257,156,257,2,28,177,29,231,256,456,18,430,143
"Rps6ka1",10,22,11,3,0,6,11,1,0,0,26,0,4,2,14,0,26,18
"Rps6ka2",68,262,89,59,63,236,38,124,12,1,10,1,146,157,255,13,205,73
"Rps6ka3",53,78,97,53,32,56,30,97,1,3,8,0,8,101,77,0,152,31
"Rps6ka4",43,84,63,18,82,38,36,58,3,7,43,0,20,111,129,0,131,31
"Rps6ka5",7,29,10,27,15,15,21,38,1,1,25,1,23,28,19,8,48,4
"Rps6ka6",0,14,2,4,7,0,1,35,0,0,0,0,1,13,0,3,14,1
"Rps6kb1",58,136,150,37,131,90,93,73,3,16,51,1,68,97,95,16,108,33
"Rps6kb2",62,148,121,35,63,102,41,92,1,0,10,1,59,103,133,10,134,51
"Rps6kc1",58,99,166,34,49,62,50,72,5,7,46,0,39,170,115,25,139,43
"Rps6kl1",119,97,156,80,148,87,82,158,6,9,28,1,174,179,114,10,312,42
"Rps7",223,416,461,153,182,183,99,255,13,27,45,23,203,290,337,27,403,150
"Rps8",281,374,334,106,274,186,94,202,18,0,73,1,302,276,520,3,353,150
"Rps9",220,364,337,108,178,164,68,195,13,0,37,2,162,220,314,18,243,136
"Rpsa",460,800,785,306,719,367,161,362,21,18,196,23,375,474,688,84,569,244
"Rptn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rptor",180,156,217,84,204,147,121,229,9,3,63,2,225,234,217,9,254,65
"Rpusd1",70,114,121,125,89,72,61,143,2,1,124,1,62,123,165,30,218,66
"Rpusd2",12,2,35,0,32,11,13,10,0,0,6,0,14,16,2,0,16,2
"Rpusd3",18,39,19,6,24,12,5,14,1,18,0,0,11,22,50,0,41,11
"Rpusd4",10,11,32,14,13,9,0,26,7,0,27,0,4,26,11,0,21,9
"Rrad",17,12,12,0,11,6,1,0,0,14,0,0,11,5,8,0,3,2
"Rraga",168,123,232,103,116,116,76,237,3,32,55,46,103,237,227,23,322,68
"Rragb",74,146,167,47,68,54,36,183,7,1,61,1,183,169,177,27,210,57
"Rragc",123,90,175,59,49,76,42,132,9,0,12,1,215,99,143,10,232,59
"Rragd",98,297,171,126,75,361,93,270,3,0,139,3,62,167,455,14,330,96
"Rras",2,4,23,0,21,0,0,5,1,0,0,1,21,6,0,0,8,0
"Rras2",40,102,31,2,8,42,11,22,6,2,0,0,29,21,88,0,34,25
"Rrbp1",32,39,79,47,117,29,35,80,1,0,4,1,81,79,28,4,107,11
"Rreb1",23,515,45,84,73,661,40,62,14,8,51,7,107,146,718,8,212,83
"Rrh",0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,1
"Rrm1",23,22,15,14,6,32,13,4,0,0,24,0,1,17,104,0,14,11
"Rrm2",0,7,2,0,1,4,0,0,0,0,0,0,0,0,12,0,0,1
"Rrm2b",52,73,71,17,41,42,53,109,16,0,6,1,36,102,89,2,92,21
"Rrn3",113,157,174,53,131,87,90,128,7,6,105,18,95,195,220,19,194,64
"Rrnad1",82,103,68,27,67,45,44,45,0,0,5,8,68,52,99,21,110,36
"Rrp1",476,640,626,322,536,415,237,638,45,37,259,39,367,768,809,65,1039,242
"Rrp12",116,74,131,40,122,83,58,115,3,12,35,1,76,54,51,10,257,27
"Rrp15",29,14,31,5,17,0,4,22,0,0,0,15,9,13,23,0,14,1
"Rrp1b",21,87,63,9,4,49,2,37,1,2,0,1,11,20,105,5,23,13
"Rrp36",6,21,22,12,5,22,17,3,0,7,18,1,8,48,43,0,31,19
"Rrp7a",143,172,219,88,100,112,83,236,4,1,149,0,182,269,258,21,334,69
"Rrp8",7,33,17,0,33,13,2,15,0,2,0,0,17,37,17,0,5,2
"Rrp9",25,66,48,8,48,30,12,35,1,0,1,0,75,39,54,0,74,6
"Rrs1",25,52,71,15,54,33,19,21,4,0,5,0,86,42,70,0,62,19
"Rs1",1,1,9,0,7,0,2,0,0,0,0,0,7,15,0,0,5,16
"Rsad1",15,40,13,1,2,14,4,27,2,0,23,0,0,15,36,0,23,4
"Rsad2",0,0,0,0,1,1,2,0,0,0,0,0,10,0,0,0,3,0
"Rsbn1",45,83,72,20,51,90,44,55,3,19,0,0,31,45,93,1,38,18
"Rsbn1l",37,84,82,33,49,61,65,111,11,0,61,0,98,63,104,7,112,25
"Rsc1a1",0,23,28,0,0,0,4,12,12,6,0,1,11,0,30,2,0,12
"Rsf1",94,132,123,50,146,126,64,66,9,0,9,23,135,126,174,1,96,68
"Rsg1",0,2,0,4,0,0,4,3,0,0,0,0,0,0,0,0,2,0
"Rsl1",2,0,0,1,4,4,0,2,0,8,0,0,0,0,0,0,9,2
"Rsl1d1",85,132,71,60,69,73,61,63,1,6,1,17,59,72,225,22,136,34
"Rsl24d1",64,96,147,40,97,58,20,47,0,17,25,0,49,65,107,2,82,21
"Rslcan18",1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rsph1",0,3,0,0,14,0,0,0,3,0,0,0,0,22,0,0,5,1
"Rsph10b",2,7,0,6,5,16,0,0,0,0,0,0,9,5,0,0,14,2
"Rsph14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rsph3a",21,75,74,30,41,21,14,26,0,0,68,0,38,35,51,0,83,23
"Rsph3b",17,17,35,16,11,28,0,28,0,1,3,0,16,51,31,6,67,2
"Rsph4a",10,8,10,0,26,0,5,0,0,0,0,0,5,0,2,0,7,1
"Rsph6a",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rsph9",10,10,31,0,30,4,2,11,0,0,0,0,4,4,7,5,17,5
"Rspo1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rspo2",0,6,3,26,7,0,0,37,0,0,0,0,19,24,1,0,47,1
"Rspo3",12,7,53,0,17,6,15,0,0,0,0,0,13,12,12,0,4,2
"Rspo4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rspry1",27,15,39,38,44,30,18,72,5,9,0,1,34,43,9,16,61,20
"Rsrc1",49,63,71,30,60,39,25,52,10,11,1,0,37,30,67,31,53,12
"Rsrc2",107,247,164,68,149,209,102,132,14,17,113,1,144,186,233,0,272,74
"Rsrp1",287,499,640,170,381,385,192,469,17,17,49,9,349,615,616,37,732,171
"Rsu1",21,29,46,4,49,3,0,8,1,0,0,0,8,19,16,7,54,5
"Rtbdn",1,0,4,2,13,3,2,3,0,1,0,0,0,4,0,0,6,1
"Rtca",71,72,99,39,75,57,50,88,3,16,36,0,34,181,134,7,184,65
"Rtcb",151,217,152,89,69,127,75,175,8,21,91,0,113,173,163,16,297,59
"Rtel1",26,119,36,13,32,33,23,37,0,0,17,0,25,62,74,1,68,19
"Rtf1",119,165,305,78,156,167,127,214,23,1,44,1,174,151,270,23,242,51
"Rtfdc1",152,137,131,62,159,76,73,148,2,17,73,0,134,177,215,2,241,80
"Rtkn",60,89,106,38,89,53,28,88,1,1,32,0,44,60,173,7,124,21
"Rtkn2",3,5,11,0,0,2,1,1,0,0,0,0,20,8,0,0,3,1
"Rtl1",45,32,47,10,30,22,21,23,0,4,10,0,0,23,64,7,55,18
"Rtn1",1808,2352,3001,1212,2028,1198,979,2770,71,125,814,184,2149,3244,2488,399,6186,849
"Rtn2",119,132,142,77,144,156,53,127,3,19,5,0,104,163,171,2,166,52
"Rtn3",1774,1459,2663,1223,2171,814,1042,2856,77,139,788,111,2043,3027,1404,414,5423,690
"Rtn4",1093,788,1656,698,1266,514,784,1150,46,88,220,5,1087,1471,931,238,2584,385
"Rtn4ip1",11,15,22,11,4,15,21,49,4,0,9,0,17,28,57,0,53,14
"Rtn4r",184,284,316,151,254,167,114,252,13,33,116,13,176,338,305,31,469,90
"Rtn4rl1",123,186,207,151,212,156,100,325,5,20,87,19,145,396,283,11,810,92
"Rtn4rl2",129,70,198,77,82,63,65,130,4,23,42,0,165,114,101,7,328,48
"Rtp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rtp2",0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0
"Rtp3",0,4,0,0,0,6,12,6,0,0,0,0,1,0,1,0,6,0
"Rtp4",1,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,0
"Rttn",1,7,16,8,8,12,5,0,0,0,0,0,0,10,0,0,12,3
"Rubcn",147,147,147,43,144,148,78,132,16,3,23,16,188,121,124,22,262,52
"Rufy1",90,58,115,20,53,38,30,39,2,10,0,0,36,55,28,13,85,12
"Rufy2",101,136,129,72,63,171,43,115,4,0,35,0,111,143,293,15,183,58
"Rufy3",231,368,298,240,203,297,126,492,22,17,268,11,228,670,572,30,812,170
"Rufy4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rundc1",103,115,236,62,111,96,73,77,2,12,58,1,54,205,149,11,190,40
"Rundc3a",554,731,912,460,910,427,231,885,26,22,357,43,488,925,611,56,1389,311
"Rundc3b",64,99,103,62,63,36,55,86,2,0,9,1,32,94,135,0,107,35
"Runx1",8,8,0,0,27,15,1,4,0,0,0,1,7,4,0,0,6,0
"Runx1t1",59,12,97,37,116,0,79,127,1,10,2,4,135,72,4,19,94,9
"Runx2",83,78,81,8,60,45,65,31,4,1,12,1,105,33,91,25,61,16
"Runx3",0,1,1,1,2,1,3,0,0,0,1,0,1,1,1,0,0,1
"Rusc1",296,173,348,188,328,221,146,456,30,45,44,22,201,548,221,32,769,91
"Rusc2",224,258,337,185,287,200,170,366,3,31,41,2,340,395,153,7,497,99
"Ruvbl1",87,63,77,41,67,6,34,80,0,0,14,0,102,100,77,1,123,28
"Ruvbl2",49,57,58,33,71,53,40,43,0,0,18,0,23,63,95,9,53,13
"Rwdd1",79,89,102,22,54,35,29,53,2,3,26,0,34,80,15,9,114,24
"Rwdd2a",16,4,33,10,28,1,4,37,0,0,38,0,33,77,18,7,96,2
"Rwdd2b",19,22,61,16,18,43,17,13,0,0,1,0,2,40,27,0,16,8
"Rwdd3",14,29,24,14,0,11,13,32,0,0,0,0,6,18,45,0,37,3
"Rwdd4a",41,27,62,31,13,46,10,49,3,14,1,0,32,39,13,1,95,31
"Rxfp1",2,3,0,0,11,0,1,0,0,0,0,0,0,0,0,0,3,0
"Rxfp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rxfp3",0,5,9,15,2,0,0,17,0,0,0,0,0,37,9,0,51,0
"Rxfp4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rxra",42,55,78,6,21,23,16,42,0,0,0,0,28,16,25,24,87,9
"Rxrb",150,179,211,100,146,134,33,109,7,23,48,1,112,187,185,3,218,73
"Rxrg",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,1
"Rybp",111,181,171,68,177,113,54,127,4,0,43,2,114,127,128,24,132,62
"Ryk",53,83,84,38,103,60,54,36,0,1,0,1,38,53,63,1,55,26
"Ryr1",15,482,75,20,43,253,12,12,12,1,54,74,31,70,479,0,57,80
"Ryr2",699,1161,830,454,786,1530,872,870,69,102,102,36,905,1197,1627,180,1600,359
"Ryr3",491,193,1220,339,762,155,658,509,14,71,80,4,792,587,276,134,739,134
"S100a1",11,15,41,20,39,12,0,28,0,0,15,0,19,14,0,1,44,6
"S100a10",11,7,7,6,14,0,5,3,0,0,0,1,48,5,0,0,27,1
"S100a11",7,3,0,2,0,0,1,13,0,0,0,0,12,3,2,0,4,0
"S100a13",2,5,16,2,9,1,4,6,0,0,0,0,2,4,2,0,20,1
"S100a14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a16",29,26,69,6,32,14,4,29,0,0,0,1,30,43,11,7,41,10
"S100a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a6",2,2,6,0,0,2,0,4,0,0,0,0,0,7,10,0,6,3
"S100a7a",0,0,2,0,0,0,2,0,1,0,0,0,0,6,0,0,0,0
"S100a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100a9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100b",40,33,172,7,132,19,17,64,0,0,0,0,118,67,5,0,128,11
"S100g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S100pbp",88,119,96,44,111,62,48,55,1,1,51,45,71,35,233,21,80,39
"S100z",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1pr1",198,114,208,50,245,105,43,122,3,5,0,1,138,91,22,18,211,42
"S1pr2",10,5,3,0,0,5,0,0,0,0,0,0,14,1,0,7,6,0
"S1pr3",15,9,19,7,14,7,9,14,1,0,0,0,1,22,0,1,25,9
"S1pr4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1pr5",11,12,3,4,13,10,10,18,0,0,16,0,32,13,12,0,28,1
"Saa1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saa2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saa3",0,2,4,4,0,0,6,0,0,0,0,16,0,8,6,0,1,2
"Saa4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Saal1",16,52,11,7,0,22,2,1,0,6,7,0,12,30,20,10,20,11
"Sac3d1",20,24,33,22,27,27,8,29,19,0,79,17,15,30,31,0,43,10
"Sacm1l",127,80,180,79,102,79,56,197,0,24,11,1,99,195,126,44,255,44
"Sacs",182,432,377,184,264,457,238,282,45,1,46,4,192,287,367,1,500,189
"Sae1",102,97,186,70,98,59,41,220,18,1,107,2,87,175,166,3,337,63
"Safb",203,404,391,112,225,289,142,260,17,29,108,26,203,324,549,29,448,136
"Safb2",178,393,312,75,180,318,87,240,34,21,31,0,150,271,627,11,418,144
"Sag",3,2,6,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0
"Sall1",21,21,29,7,36,20,2,21,5,0,8,0,58,17,19,0,29,5
"Sall2",86,172,177,19,119,106,64,49,1,20,7,1,187,119,226,25,105,43
"Sall3",1,0,23,4,13,8,0,8,0,0,0,0,11,8,0,0,6,3
"Sall4",0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,0,4,0
"Samd1",44,69,62,31,84,64,41,29,1,12,33,0,49,37,151,8,83,37
"Samd10",12,18,8,7,0,12,4,24,5,0,8,0,0,32,39,6,17,2
"Samd11",0,0,10,5,9,5,0,0,0,0,0,0,0,0,0,0,12,1
"Samd12",6,18,22,0,13,8,13,8,0,0,0,0,21,20,18,6,3,8
"Samd13",0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samd14",61,59,38,20,21,24,28,77,0,5,43,0,23,120,39,1,172,27
"Samd15",0,3,14,0,5,1,0,12,0,0,0,0,16,0,0,0,0,0
"Samd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samd4",5,26,26,9,13,8,3,36,0,0,15,1,5,23,21,0,27,23
"Samd4b",186,159,205,83,196,93,72,153,8,11,66,58,136,101,77,11,216,53
"Samd5",47,3,63,3,30,0,18,31,1,0,0,0,54,9,22,9,24,6
"Samd7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samd8",162,214,238,99,211,156,185,200,21,1,36,9,191,248,114,53,404,61
"Samd9l",4,0,7,7,0,0,0,3,0,0,0,0,17,2,0,0,20,15
"Samhd1",31,49,51,27,36,26,19,63,1,0,5,3,36,63,42,0,67,20
"Samm50",131,165,171,87,100,71,64,153,2,5,33,0,80,129,127,1,211,53
"Samsn1",8,3,6,4,18,0,1,0,0,0,0,0,11,0,16,13,5,1
"Samt1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samt3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Samt4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sap130",55,132,78,34,97,92,34,49,9,9,0,0,132,82,118,9,88,23
